14	[48, 87, 227, 595, 1619, 3423, 0]
17	[99, 30, 478, 1100, 3146, 6364, 0]
21	[99, 7, 128, 353, 3963, 8063, 0]
23	[99, 113, 25, 1680, 4734, 9685, 0]
24	[99, 113, 25, 1680, 4734, 9695, 0]
25	[99, 113, 25, 1680, 4734, 9689, 0]
27	[0, 0, 0, 0, 0, 11644, 0]
33	[75, 178, 462, 1172, 3340, 6869, 0]
34	[75, 178, 462, 1172, 3340, 6871, 0]
41	[75, 178, 462, 150, 4902, 10120, 0]
52	[75, 0, 573, 1461, 1166, 2456, 0]
56	[75, 0, 573, 1461, 4794, 9878, 0]
61	[99, 30, 472, 1195, 5419, 11428, 0]
65	[33, 53, 330, 836, 2309, 4812, 0]
69	[99, 113, 400, 1014, 2899, 5863, 0]
82	[99, 7, 344, 885, 2447, 5017, 0]
84	[99, 7, 344, 885, 2447, 5016, 0]
100	[99, 7, 344, 1972, 305, 677, 0]
139	[104, 234, 670, 258, 732, 1620, 0]
140	[104, 234, 670, 258, 731, 1612, 0]
141	[104, 234, 670, 258, 731, 1613, 0]
142	[104, 234, 670, 258, 731, 1615, 0]
147	[104, 234, 670, 1727, 4842, 10004, 0]
158	[104, 234, 670, 1882, 5220, 10965, 0]
159	[104, 234, 92, 267, 762, 1690, 0]
162	[104, 234, 670, 1882, 5220, 10970, 0]
168	[104, 234, 670, 1882, 5220, 10969, 1965]
172	[104, 234, 383, 966, 2747, 5543, 0]
173	[104, 234, 383, 966, 2747, 5545, 0]
174	[104, 234, 383, 966, 2747, 5544, 0]
188	[99, 7, 614, 1025, 3776, 7732, 0]
189	[99, 7, 614, 1238, 3498, 7198, 0]
192	[99, 7, 614, 200, 567, 1223, 0]
193	[99, 7, 614, 200, 567, 1224, 0]
195	[19, 99, 104, 310, 899, 1943, 0]
196	[19, 99, 104, 310, 899, 1946, 0]
197	[19, 99, 104, 310, 899, 1948, 0]
201	[19, 99, 104, 310, 899, 1949, 0]
203	[19, 99, 104, 310, 899, 1950, 0]
210	[19, 99, 104, 823, 2264, 4746, 0]
212	[19, 99, 104, 823, 2264, 4740, 0]
214	[19, 99, 104, 823, 2264, 4742, 0]
217	[19, 99, 104, 823, 2264, 4745, 0]
223	[99, 30, 98, 59, 34, 74, 0]
224	[99, 30, 98, 59, 34, 76, 0]
227	[99, 113, 25, 1519, 4273, 8721, 0]
228	[99, 113, 25, 1519, 4273, 8722, 0]
232	[99, 113, 25, 75, 242, 555, 0]
236	[99, 7, 344, 275, 794, 1767, 0]
238	[13, 110, 278, 1967, 1755, 3753, 0]
239	[13, 110, 278, 711, 1951, 4165, 0]
240	[13, 110, 278, 711, 1951, 4166, 0]
241	[13, 110, 278, 711, 1951, 4169, 0]
242	[13, 110, 278, 711, 1951, 4171, 0]
244	[12, 24, 73, 343, 4078, 8327, 0]
249	[13, 48, 147, 407, 5055, 10612, 0]
253	[13, 110, 278, 1967, 1182, 2482, 0]
255	[99, 113, 594, 1523, 4295, 11631, 0]
256	[13, 110, 278, 711, 3333, 6855, 0]
258	[13, 233, 668, 1720, 4827, 9970, 0]
263	[99, 113, 723, 716, 1966, 4190, 0]
264	[99, 113, 723, 716, 1966, 4190, 769]
266	[99, 7, 612, 1319, 3764, 7710, 0]
267	[99, 7, 612, 1319, 3764, 7712, 0]
271	[47, 80, 709, 1833, 5127, 10760, 0]
272	[47, 80, 709, 1833, 5127, 10762, 0]
274	[47, 80, 709, 1833, 5127, 10773, 0]
275	[47, 80, 709, 1833, 5127, 10768, 0]
276	[47, 80, 709, 1833, 5127, 10763, 0]
277	[47, 80, 709, 1833, 3047, 6169, 0]
280	[99, 7, 344, 1972, 5457, 11496, 0]
281	[99, 7, 344, 1972, 5457, 11497, 0]
285	[99, 30, 98, 475, 1282, 2694, 0]
287	[99, 113, 594, 1523, 4295, 8755, 0]
288	[99, 113, 25, 1519, 4273, 8720, 0]
290	[99, 7, 344, 1219, 115, 257, 0]
292	[99, 30, 98, 284, 812, 1803, 0]
293	[99, 7, 128, 353, 782, 1744, 0]
294	[99, 113, 594, 1523, 4295, 8769, 0]
296	[99, 113, 594, 1523, 4295, 8770, 0]
297	[99, 131, 339, 868, 2418, 4965, 0]
298	[99, 113, 594, 1523, 4295, 8774, 0]
300	[99, 113, 594, 1523, 1722, 3699, 0]
301	[99, 113, 594, 1523, 1722, 3700, 0]
303	[99, 113, 594, 1523, 4295, 8784, 0]
304	[99, 30, 98, 1713, 4512, 9295, 0]
305	[99, 30, 98, 284, 4390, 9014, 0]
306	[99, 113, 594, 1523, 4295, 8787, 0]
307	[99, 0, 0, 0, 0, 8812, 0]
308	[99, 0, 0, 0, 0, 8821, 0]
309	[99, 0, 0, 0, 0, 8824, 0]
311	[99, 0, 0, 0, 0, 8813, 0]
312	[99, 0, 0, 0, 0, 8822, 0]
313	[99, 0, 0, 0, 0, 8802, 0]
314	[99, 0, 0, 0, 0, 8817, 0]
315	[99, 0, 0, 0, 0, 8801, 0]
